Id,UserId,Name,Date,Class,TagBased
107,21,Custodian,2014-12-09T20:16:05.437,3,False
108,54,Informed,2014-12-09T20:18:20.057,3,False
109,54,Autobiographer,2014-12-09T20:21:05.310,3,False
110,54,Supporter,2014-12-09T20:21:05.310,3,False
111,60,Autobiographer,2014-12-09T20:31:36.727,3,False
112,59,Autobiographer,2014-12-09T20:31:36.727,3,False
113,57,Autobiographer,2014-12-09T20:31:36.727,3,False
114,8,Commentator,2014-12-09T20:31:36.727,3,False
115,21,Editor,2014-12-09T20:31:36.727,3,False
116,21,Supporter,2014-12-09T20:31:36.727,3,False
117,35,Custodian,2014-12-09T20:31:36.727,3,False
118,61,Autobiographer,2014-12-09T20:36:36.707,3,False
119,59,Student,2014-12-09T20:36:36.707,3,False
120,31,Supporter,2014-12-09T20:36:36.707,3,False
121,59,Supporter,2014-12-09T20:36:36.707,3,False
122,40,Teacher,2014-12-09T20:36:36.707,3,False
123,59,Teacher,2014-12-09T20:36:36.707,3,False
124,32,Student,2014-12-09T20:41:37.340,3,False
125,62,Supporter,2014-12-09T20:41:37.340,3,False
126,27,Student,2014-12-09T20:46:36.810,3,False
127,35,Supporter,2014-12-09T20:46:36.810,3,False
128,41,Teacher,2014-12-09T20:46:36.810,3,False
129,49,Teacher,2014-12-09T20:46:36.810,3,False
130,63,Informed,2014-12-09T20:47:33.917,3,False
131,64,Autobiographer,2014-12-09T20:51:36.740,3,False
132,65,Autobiographer,2014-12-09T20:51:36.740,3,False
133,63,Autobiographer,2014-12-09T20:51:36.740,3,False
134,63,Custodian,2014-12-09T20:51:36.740,3,False
135,33,Informed,2014-12-09T20:59:09.180,3,False
136,71,Autobiographer,2014-12-09T20:59:46.357,3,False
137,70,Autobiographer,2014-12-09T20:59:46.357,3,False
138,69,Autobiographer,2014-12-09T20:59:46.357,3,False
139,68,Autobiographer,2014-12-09T20:59:46.357,3,False
140,67,Autobiographer,2014-12-09T20:59:46.357,3,False
141,66,Autobiographer,2014-12-09T20:59:46.357,3,False
142,27,Commentator,2014-12-09T20:59:46.357,3,False
143,61,Student,2014-12-09T20:59:46.357,3,False
144,61,Supporter,2014-12-09T20:59:46.357,3,False
145,63,Supporter,2014-12-09T20:59:46.357,3,False
146,66,Supporter,2014-12-09T20:59:46.357,3,False
147,70,Supporter,2014-12-09T20:59:46.357,3,False
148,71,Supporter,2014-12-09T20:59:46.357,3,False
149,45,Teacher,2014-12-09T20:59:46.357,3,False
150,63,Teacher,2014-12-09T20:59:46.357,3,False
151,59,Commentator,2014-12-09T21:04:46.000,3,False
152,72,Supporter,2014-12-09T21:04:46.000,3,False
153,11,Teacher,2014-12-09T21:04:46.000,3,False
154,27,Teacher,2014-12-09T21:04:46.000,3,False
155,73,Autobiographer,2014-12-09T21:09:45.937,3,False
156,15,Citizen Patrol,2014-12-09T21:09:22.067,3,False
157,64,Editor,2014-12-09T21:09:45.937,3,False
158,59,Organizer,2014-12-09T21:09:45.937,3,False
159,65,Student,2014-12-09T21:09:45.937,3,False
160,64,Custodian,2014-12-09T21:09:45.937,3,False
161,76,Autobiographer,2014-12-09T21:14:47.920,3,False
162,75,Autobiographer,2014-12-09T21:14:47.920,3,False
163,74,Autobiographer,2014-12-09T21:14:47.920,3,False
164,59,Editor,2014-12-09T21:14:47.920,3,False
165,75,Supporter,2014-12-09T21:14:47.920,3,False
166,68,Precognitive,2014-12-09T21:15:48.073,3,False
167,57,Precognitive,2014-12-09T21:15:48.073,3,False
168,54,Precognitive,2014-12-09T21:15:48.073,3,False
169,76,Precognitive,2014-12-09T21:15:48.073,3,False
170,71,Precognitive,2014-12-09T21:15:48.073,3,False
171,70,Precognitive,2014-12-09T21:15:48.073,3,False
172,63,Precognitive,2014-12-09T21:15:48.073,3,False
173,59,Precognitive,2014-12-09T21:15:48.073,3,False
174,74,Precognitive,2014-12-09T21:15:48.073,3,False
175,78,Autobiographer,2014-12-09T21:19:47.953,3,False
176,77,Autobiographer,2014-12-09T21:19:47.953,3,False
177,17,Mortarboard,2014-12-09T21:19:32.150,3,False
178,76,Supporter,2014-12-09T21:19:47.953,3,False
179,79,Autobiographer,2014-12-09T21:24:47.920,3,False
180,59,Self-Learner,2014-12-09T21:24:47.920,3,False
181,64,Supporter,2014-12-09T21:24:47.920,3,False
182,78,Supporter,2014-12-09T21:24:47.920,3,False
183,41,Citizen Patrol,2014-12-09T21:25:55.383,3,False
184,25,Supporter,2014-12-09T21:31:34.690,3,False
185,32,Teacher,2014-12-09T21:31:34.690,3,False
186,35,Teacher,2014-12-09T21:31:34.690,3,False
187,80,Autobiographer,2014-12-09T21:36:34.763,3,False
188,8,Organizer,2014-12-09T21:41:35.360,3,False
189,75,Student,2014-12-09T21:41:35.360,3,False
190,3,Supporter,2014-12-09T21:41:35.360,3,False
191,11,Supporter,2014-12-09T21:41:35.360,3,False
192,75,Custodian,2014-12-09T21:41:35.360,3,False
193,81,Autobiographer,2014-12-09T21:46:36.023,3,False
194,63,Editor,2014-12-09T21:46:36.023,3,False
195,25,Teacher,2014-12-09T21:46:36.023,3,False
196,26,Teacher,2014-12-09T21:46:36.023,3,False
197,80,Custodian,2014-12-09T21:46:36.023,3,False
199,14,Editor,2014-12-09T21:51:36.093,3,False
