Id,PostId,VoteTypeId,CreationDate,UserId,BountyAmount
123,65,2,2014-01-21T00:00:00.000,,
124,63,2,2014-01-21T00:00:00.000,,
125,56,2,2014-01-21T00:00:00.000,,
126,65,2,2014-01-21T00:00:00.000,,
127,67,2,2014-01-21T00:00:00.000,,
128,16,2,2014-01-21T00:00:00.000,,
129,46,2,2014-01-21T00:00:00.000,,
130,68,2,2014-01-21T00:00:00.000,,
131,65,2,2014-01-21T00:00:00.000,,
132,64,3,2014-01-21T00:00:00.000,,
133,54,2,2014-01-21T00:00:00.000,,
134,65,2,2014-01-21T00:00:00.000,,
135,68,2,2014-01-21T00:00:00.000,,
136,53,2,2014-01-21T00:00:00.000,,
137,57,2,2014-01-21T00:00:00.000,,
138,53,2,2014-01-21T00:00:00.000,,
139,65,2,2014-01-21T00:00:00.000,,
140,56,2,2014-01-21T00:00:00.000,,
141,63,5,2014-01-21T00:00:00.000,7,
142,63,2,2014-01-21T00:00:00.000,,
143,53,2,2014-01-21T00:00:00.000,,
144,71,2,2014-01-21T00:00:00.000,,
145,33,2,2014-01-21T00:00:00.000,,
146,42,2,2014-01-21T00:00:00.000,,
147,32,2,2014-01-21T00:00:00.000,,
148,6,2,2014-01-21T00:00:00.000,,
149,16,2,2014-01-21T00:00:00.000,,
150,22,2,2014-01-21T00:00:00.000,,
151,26,2,2014-01-21T00:00:00.000,,
152,15,2,2014-01-21T00:00:00.000,,
153,3,2,2014-01-21T00:00:00.000,,
154,57,2,2014-01-21T00:00:00.000,,
155,13,2,2014-01-21T00:00:00.000,,
156,13,2,2014-01-21T00:00:00.000,,
157,13,1,2014-01-21T00:00:00.000,,
158,15,2,2014-01-21T00:00:00.000,,
159,72,2,2014-01-21T00:00:00.000,,
160,4,2,2014-01-21T00:00:00.000,,
161,1,2,2014-01-21T00:00:00.000,,
162,66,10,2014-01-21T00:00:00.000,,
163,72,2,2014-01-21T00:00:00.000,,
164,54,2,2014-01-21T00:00:00.000,,
165,57,2,2014-01-21T00:00:00.000,,
166,14,2,2014-01-21T00:00:00.000,,
167,27,2,2014-01-21T00:00:00.000,,
168,8,2,2014-01-21T00:00:00.000,,
169,18,2,2014-01-21T00:00:00.000,,
170,72,2,2014-01-21T00:00:00.000,,
171,52,2,2014-01-21T00:00:00.000,,
172,7,2,2014-01-21T00:00:00.000,,
173,67,3,2014-01-21T00:00:00.000,,
174,70,2,2014-01-21T00:00:00.000,,
175,8,2,2014-01-21T00:00:00.000,,
176,18,2,2014-01-21T00:00:00.000,,
177,63,2,2014-01-21T00:00:00.000,,
178,64,2,2014-01-21T00:00:00.000,,
179,68,2,2014-01-21T00:00:00.000,,
180,75,2,2014-01-21T00:00:00.000,,
181,17,2,2014-01-21T00:00:00.000,,
182,50,2,2014-01-21T00:00:00.000,,
183,38,2,2014-01-21T00:00:00.000,,
184,52,1,2014-01-21T00:00:00.000,,
185,73,16,2014-01-21T00:00:00.000,,
186,71,1,2014-01-21T00:00:00.000,,
187,37,2,2014-01-21T00:00:00.000,,
188,48,2,2014-01-21T00:00:00.000,,
189,70,2,2014-01-21T00:00:00.000,,
190,74,2,2014-01-21T00:00:00.000,,
191,73,2,2014-01-21T00:00:00.000,,
192,73,2,2014-01-21T00:00:00.000,,
193,35,2,2014-01-21T00:00:00.000,,
194,44,2,2014-01-21T00:00:00.000,,
195,43,2,2014-01-21T00:00:00.000,,
196,51,2,2014-01-21T00:00:00.000,,
197,58,2,2014-01-21T00:00:00.000,,
198,44,1,2014-01-21T00:00:00.000,,
199,70,2,2014-01-21T00:00:00.000,,
200,5,2,2014-01-21T00:00:00.000,,
201,19,2,2014-01-21T00:00:00.000,,
202,2,2,2014-01-21T00:00:00.000,,
203,4,16,2014-01-21T00:00:00.000,,
204,73,2,2014-01-21T00:00:00.000,,
205,35,2,2014-01-21T00:00:00.000,,
206,77,2,2014-01-21T00:00:00.000,,
207,78,2,2014-01-21T00:00:00.000,,
208,70,2,2014-01-21T00:00:00.000,,
209,78,2,2014-01-21T00:00:00.000,,
211,70,2,2014-01-21T00:00:00.000,,
212,79,3,2014-01-21T00:00:00.000,,
213,64,2,2014-01-21T00:00:00.000,,
214,78,2,2014-01-21T00:00:00.000,,
215,62,2,2014-01-21T00:00:00.000,,
216,35,2,2014-01-21T00:00:00.000,,
217,44,2,2014-01-21T00:00:00.000,,
218,36,2,2014-01-21T00:00:00.000,,
219,23,3,2014-01-21T00:00:00.000,,
220,79,2,2014-01-21T00:00:00.000,,
221,81,3,2014-01-21T00:00:00.000,,
222,54,2,2014-01-21T00:00:00.000,,
223,77,2,2014-01-21T00:00:00.000,,
224,19,2,2014-01-21T00:00:00.000,,
225,5,2,2014-01-21T00:00:00.000,,
226,85,3,2014-01-21T00:00:00.000,,
227,81,2,2014-01-21T00:00:00.000,,
228,87,2,2014-01-21T00:00:00.000,,
229,85,2,2014-01-21T00:00:00.000,,
231,75,2,2014-01-21T00:00:00.000,,
232,47,2,2014-01-21T00:00:00.000,,
233,62,2,2014-01-21T00:00:00.000,,
234,82,2,2014-01-21T00:00:00.000,,
235,70,2,2014-01-21T00:00:00.000,,
236,61,2,2014-01-21T00:00:00.000,,
237,32,2,2014-01-21T00:00:00.000,,
238,88,2,2014-01-21T00:00:00.000,,
239,86,2,2014-01-21T00:00:00.000,,
240,83,2,2014-01-21T00:00:00.000,,
241,8,2,2014-01-21T00:00:00.000,,
242,18,2,2014-01-21T00:00:00.000,,
243,86,3,2014-01-21T00:00:00.000,,
244,33,2,2014-01-21T00:00:00.000,,
245,82,2,2014-01-21T00:00:00.000,,
246,19,2,2014-01-21T00:00:00.000,,
247,85,2,2014-01-21T00:00:00.000,,
248,91,2,2014-01-21T00:00:00.000,,
249,90,2,2014-01-21T00:00:00.000,,
250,69,2,2014-01-21T00:00:00.000,,
251,61,2,2014-01-21T00:00:00.000,,
252,89,2,2014-01-21T00:00:00.000,,
253,60,2,2014-01-21T00:00:00.000,,
254,55,2,2014-01-21T00:00:00.000,,
255,40,2,2014-01-21T00:00:00.000,,
256,41,2,2014-01-21T00:00:00.000,,
257,78,2,2014-01-21T00:00:00.000,,
258,46,2,2014-01-21T00:00:00.000,,
259,3,2,2014-01-21T00:00:00.000,,
260,61,2,2014-01-21T00:00:00.000,,
261,85,2,2014-01-21T00:00:00.000,,
262,84,16,2014-01-21T00:00:00.000,,
263,97,2,2014-01-21T00:00:00.000,,
264,74,2,2014-01-21T00:00:00.000,,
265,96,2,2014-01-21T00:00:00.000,,
266,96,2,2014-01-21T00:00:00.000,,
267,84,3,2014-01-21T00:00:00.000,,
268,15,2,2014-01-21T00:00:00.000,,
269,76,2,2014-01-21T00:00:00.000,,
270,1,16,2014-01-21T00:00:00.000,,
271,2,2,2014-01-21T00:00:00.000,,
272,2,3,2014-01-21T00:00:00.000,,
273,46,2,2014-01-21T00:00:00.000,,
274,2,2,2014-01-21T00:00:00.000,,
275,99,2,2014-01-21T00:00:00.000,,
276,92,3,2014-01-21T00:00:00.000,,
277,99,2,2014-01-21T00:00:00.000,,
278,99,2,2014-01-21T00:00:00.000,,
279,1,2,2014-01-21T00:00:00.000,,
280,4,2,2014-01-21T00:00:00.000,,
281,85,16,2014-01-21T00:00:00.000,,
282,22,2,2014-01-21T00:00:00.000,,
283,85,2,2014-01-21T00:00:00.000,,
284,68,3,2014-01-21T00:00:00.000,,
285,26,2,2014-01-21T00:00:00.000,,
286,3,2,2014-01-21T00:00:00.000,,
287,76,2,2014-01-21T00:00:00.000,,
288,93,2,2014-01-21T00:00:00.000,,
289,84,3,2014-01-21T00:00:00.000,,
290,61,2,2014-01-21T00:00:00.000,,
291,89,2,2014-01-21T00:00:00.000,,
292,53,2,2014-01-21T00:00:00.000,,
293,65,2,2014-01-21T00:00:00.000,,
294,74,2,2014-01-21T00:00:00.000,,
295,100,2,2014-01-21T00:00:00.000,,
296,93,2,2014-01-21T00:00:00.000,,
297,85,2,2014-01-21T00:00:00.000,,
298,70,2,2014-01-21T00:00:00.000,,
299,98,2,2014-01-21T00:00:00.000,,
300,83,2,2014-01-21T00:00:00.000,,
301,32,2,2014-01-21T00:00:00.000,,
302,56,2,2014-01-21T00:00:00.000,,
303,103,3,2014-01-21T00:00:00.000,,
304,32,2,2014-01-21T00:00:00.000,,
305,104,2,2014-01-21T00:00:00.000,,
306,79,16,2014-01-21T00:00:00.000,,
307,93,2,2014-01-21T00:00:00.000,,
308,64,2,2014-01-21T00:00:00.000,,
309,68,2,2014-01-21T00:00:00.000,,
310,104,2,2014-01-21T00:00:00.000,,
311,99,2,2014-01-21T00:00:00.000,,
312,104,2,2014-01-21T00:00:00.000,,
313,64,2,2014-01-21T00:00:00.000,,
314,68,2,2014-01-21T00:00:00.000,,
315,104,2,2014-01-21T00:00:00.000,,
316,28,2,2014-01-21T00:00:00.000,,
317,65,2,2014-01-21T00:00:00.000,,
318,106,2,2014-01-21T00:00:00.000,,
319,109,2,2014-01-21T00:00:00.000,,
320,111,2,2014-01-21T00:00:00.000,,
321,105,2,2014-01-21T00:00:00.000,,
322,105,5,2014-01-21T00:00:00.000,82,
323,112,2,2014-01-21T00:00:00.000,,
324,99,2,2014-01-21T00:00:00.000,,
325,81,2,2014-01-21T00:00:00.000,,
326,113,2,2014-01-21T00:00:00.000,,
327,110,2,2014-01-21T00:00:00.000,,
328,113,2,2014-01-21T00:00:00.000,,
329,105,2,2014-01-21T00:00:00.000,,
330,112,2,2014-01-21T00:00:00.000,,
331,99,2,2014-01-21T00:00:00.000,,
332,110,2,2014-01-21T00:00:00.000,,
333,82,2,2014-01-21T00:00:00.000,,
334,104,2,2014-01-21T00:00:00.000,,
335,115,2,2014-01-21T00:00:00.000,,
336,104,2,2014-01-21T00:00:00.000,,
337,99,2,2014-01-21T00:00:00.000,,
338,117,2,2014-01-21T00:00:00.000,,
339,70,2,2014-01-21T00:00:00.000,,
340,88,2,2014-01-21T00:00:00.000,,
341,37,2,2014-01-21T00:00:00.000,,
342,112,2,2014-01-21T00:00:00.000,,
343,85,2,2014-01-21T00:00:00.000,,
344,99,2,2014-01-21T00:00:00.000,,
345,112,2,2014-01-21T00:00:00.000,,
346,99,2,2014-01-21T00:00:00.000,,
347,69,2,2014-01-21T00:00:00.000,,
348,44,2,2014-01-21T00:00:00.000,,
349,16,2,2014-01-21T00:00:00.000,,
350,105,2,2014-01-21T00:00:00.000,,
351,32,2,2014-01-21T00:00:00.000,,
352,121,2,2014-01-21T00:00:00.000,,
353,121,5,2014-01-21T00:00:00.000,87,
354,64,2,2014-01-21T00:00:00.000,,
355,112,2,2014-01-21T00:00:00.000,,
356,16,2,2014-01-21T00:00:00.000,,
357,16,5,2014-01-21T00:00:00.000,87,
358,120,2,2014-01-21T00:00:00.000,,
359,118,2,2014-01-21T00:00:00.000,,
360,122,2,2014-01-21T00:00:00.000,,
361,105,2,2014-01-21T00:00:00.000,,
362,125,2,2014-01-21T00:00:00.000,,
363,125,2,2014-01-21T00:00:00.000,,
364,121,2,2014-01-21T00:00:00.000,,
365,122,16,2014-01-21T00:00:00.000,,
366,123,2,2014-01-21T00:00:00.000,,
367,116,2,2014-01-21T00:00:00.000,,
368,127,2,2014-01-21T00:00:00.000,,
369,100,2,2014-01-21T00:00:00.000,,
370,124,2,2014-01-21T00:00:00.000,,
371,126,2,2014-01-21T00:00:00.000,,
372,100,1,2014-01-21T00:00:00.000,,
373,130,2,2014-01-21T00:00:00.000,,
374,127,2,2014-01-21T00:00:00.000,,
375,131,3,2014-01-21T00:00:00.000,,
376,129,2,2014-01-21T00:00:00.000,,
377,50,2,2014-01-21T00:00:00.000,,
378,107,2,2014-01-21T00:00:00.000,,
379,128,2,2014-01-21T00:00:00.000,,
380,105,2,2014-01-21T00:00:00.000,,
381,105,5,2014-01-21T00:00:00.000,81,
382,121,2,2014-01-21T00:00:00.000,,
383,130,2,2014-01-21T00:00:00.000,,
384,130,1,2014-01-21T00:00:00.000,,
385,131,2,2014-01-21T00:00:00.000,,
386,132,3,2014-01-21T00:00:00.000,,
387,133,2,2014-01-21T00:00:00.000,,
388,125,2,2014-01-21T00:00:00.000,,
390,127,2,2014-01-21T00:00:00.000,,
391,130,2,2014-01-21T00:00:00.000,,
392,125,2,2014-01-21T00:00:00.000,,
393,123,15,2014-01-21T00:00:00.000,,
394,1,2,2014-01-21T00:00:00.000,,
395,69,2,2014-01-21T00:00:00.000,,
396,135,2,2014-01-21T00:00:00.000,,
397,134,2,2014-01-21T00:00:00.000,,
398,42,2,2014-01-21T00:00:00.000,,
399,74,2,2014-01-21T00:00:00.000,,
400,33,2,2014-01-21T00:00:00.000,,
